Changed directory to /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing.

JobID: 58393844
======
Time: Wed Aug  7 22:57:37 BST 2024
Running on master node: gpu-q-17
Current directory: /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing

Nodes allocated:
================
gpu-q-17

numtasks=1, numnodes=1, mpi_tasks_per_node=1 (OMP_NUM_THREADS=1)

Executing command:
==================
python create_probe_dataset.py --env_name probing- --model_name 10m --num_episodes 5000 --pct_train 0.6 


Initializing env 0 with device cpu
Data collected from episode 638 with episode length of 118
Data collected from episode 639 with episode length of 25
Data collected from episode 640 with episode length of 11
Data collected from episode 641 with episode length of 120
Data collected from episode 642 with episode length of 58
Data collected from episode 643 with episode length of 20
Data collected from episode 644 with episode length of 120
Data collected from episode 645 with episode length of 120
Data collected from episode 646 with episode length of 120
Data collected from episode 647 with episode length of 115
Data collected from episode 648 with episode length of 115
Data collected from episode 649 with episode length of 118
Data collected from episode 650 with episode length of 120
Data collected from episode 651 with episode length of 119
Data collected from episode 652 with episode length of 119
Data collected from episode 653 with episode length of 30
Data collected from episode 654 with episode length of 45
Data collected from episode 655 with episode length of 46
Data collected from episode 656 with episode length of 118
Data collected from episode 657 with episode length of 30
Data collected from episode 658 with episode length of 26
Data collected from episode 659 with episode length of 116
Data collected from episode 660 with episode length of 36
Data collected from episode 661 with episode length of 19
Data collected from episode 662 with episode length of 117
Data collected from episode 663 with episode length of 43
Data collected from episode 664 with episode length of 116
Data collected from episode 665 with episode length of 117
Data collected from episode 666 with episode length of 118
Data collected from episode 667 with episode length of 27
Data collected from episode 668 with episode length of 117
Data collected from episode 669 with episode length of 117
Data collected from episode 670 with episode length of 115
Data collected from episode 671 with episode length of 120
Data collected from episode 672 with episode length of 119
Data collected from episode 673 with episode length of 115
Data collected from episode 674 with episode length of 118
